"","grain","time_period","log_linear","ll_pvals","log_2","l2_pvals","log_3","l3_pvals","log_log","lg_pvals","rep(buf, nrow(final))"
"16","sorghum","p_sow","-2821.82190851199","TRUE","-3072.41410563235","TRUE","-3277.85876992013","FALSE","-2327.89483891023","TRUE",4
"17","sorghum","p_grow","-1955.18077848649","TRUE","-2103.35380785517","TRUE","-2101.92547536205","FALSE","-2019.76699015825","TRUE",4
"18","sorghum","p_harv","-2031.17492961591","TRUE","-2129.27909309785","TRUE","-2128.18415061948","FALSE","-2135.21021307093","TRUE",4
"19","sorghum","p_sup","-1933.27984790631","TRUE","-1948.63458830363","TRUE","-1946.67758452233","FALSE","-2005.53928419185","TRUE",4
"20","sorghum","p_onemonth","-1905.42512979104","FALSE","-1996.02865242537","TRUE","-1995.51819267487","FALSE","-1980.4800053253","TRUE",4
"21","millet","p_sow","-3389.6265555589","TRUE","-4020.52497834467","TRUE","-4068.43489391742","TRUE","-3662.73569254119","TRUE",4
"22","millet","p_grow","-3406.4061022243","TRUE","-3406.86150736378","FALSE","-3499.56860706499","TRUE","-3381.54174811584","FALSE",4
"23","millet","p_harv","-3382.80020278777","FALSE","-3382.99224262099","FALSE","-3385.23030940036","FALSE","-3386.96294228694","TRUE",4
"24","millet","p_sup","-3383.18091877308","FALSE","-3386.1311744941","FALSE","-3386.00170484933","FALSE","-3383.60336042469","FALSE",4
"25","millet","p_onemonth","-3383.73060761159","FALSE","-3383.12324766273","FALSE","-3385.82935502821","FALSE","-3381.23624908361","FALSE",4
"26","maize","p_sow","-7994.57656666635","TRUE","-8225.6730996353","TRUE","-8627.37353936473","TRUE","-7909.56948858048","TRUE",4
"27","maize","p_grow","-7457.27919207215","TRUE","-7735.24778336409","TRUE","-7881.34881776784","TRUE","-7424.32762384037","TRUE",4
"28","maize","p_harv","-7436.39291622321","TRUE","-7548.23172380429","TRUE","-7629.49124677371","TRUE","-7437.67889964737","TRUE",4
"29","maize","p_sup","-7461.56625860217","TRUE","-7600.95727312441","TRUE","-7599.07755073483","FALSE","-7463.66651781739","TRUE",4
"30","maize","p_onemonth","-7419.19056926569","FALSE","-7492.00765340892","TRUE","-7500.68242147193","TRUE","-7470.73770056083","TRUE",4
"31","sorghum","p_sow","-2881.29633568019","TRUE","-3069.39415369599","TRUE","-3411.46642370379","TRUE","-2317.01382472172","TRUE",5
"32","sorghum","p_grow","-1953.19943297595","TRUE","-2072.44030657379","TRUE","-2082.94743105019","FALSE","-2017.67457734688","TRUE",5
"33","sorghum","p_harv","-2044.54313322393","TRUE","-2141.5300676591","TRUE","-2139.56456624785","FALSE","-2149.13749188467","TRUE",5
"34","sorghum","p_sup","-1950.11718202474","TRUE","-1965.35341785284","TRUE","-1963.55782880136","FALSE","-2002.43959883159","TRUE",5
"35","sorghum","p_onemonth","-1909.8154039623","TRUE","-1990.23248481607","TRUE","-1989.6924667843","FALSE","-1970.09138966581","TRUE",5
"36","millet","p_sow","-3393.41538694034","TRUE","-4112.40002656002","TRUE","-4138.76502123522","TRUE","-3660.54943545803","TRUE",5
"37","millet","p_grow","-3411.36972966544","TRUE","-3426.21259899501","FALSE","-3519.58859454234","TRUE","-3381.56406839374","FALSE",5
"38","millet","p_harv","-3382.89572261484","FALSE","-3380.90613150885","FALSE","-3383.09125074028","TRUE","-3388.68388156273","TRUE",5
"39","millet","p_sup","-3385.32487707168","TRUE","-3389.10306351264","FALSE","-3388.17141822043","FALSE","-3382.54358990602","FALSE",5
"40","millet","p_onemonth","-3381.51728011572","FALSE","-3379.5632787851","FALSE","-3378.55894518475","FALSE","-3381.25846586579","FALSE",5
"41","maize","p_sow","-8006.0703961506","TRUE","-8166.62130410873","TRUE","-8655.70542964153","TRUE","-7891.39288008194","TRUE",5
"42","maize","p_grow","-7469.10788121205","TRUE","-7906.54916759636","TRUE","-8005.73685084207","TRUE","-7425.50205061321","TRUE",5
"43","maize","p_harv","-7435.19699945349","TRUE","-7588.91226650968","TRUE","-7672.03554830828","TRUE","-7440.01795168658","TRUE",5
"44","maize","p_sup","-7472.41598074561","TRUE","-7606.51934251408","TRUE","-7609.11774362971","FALSE","-7465.99560222774","TRUE",5
