"","Grain","Time Period","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"16","sorghum","p_sow","-2726.50285910501","TRUE","-3095.58069311922","TRUE","-3098.67131862154","TRUE","-2781.60559697211","TRUE",1
"17","sorghum","p_grow","-2034.65150471508","TRUE","-2521.60928660083","TRUE","-2551.77191363515","TRUE","-2069.88478883851","TRUE",1
"18","sorghum","p_harv","-2360.01582213475","TRUE","-2541.0560688982","TRUE","-2542.46859910587","FALSE","-2363.48546272767","TRUE",1
"19","sorghum","p_sup","-2287.18661731307","TRUE","-2297.41484593191","TRUE","-2302.31634846859","FALSE","-2371.45424883216","TRUE",1
"20","sorghum","p_onemonth","-2016.04324862659","FALSE","-2092.77661797817","TRUE","-2092.50541687708","FALSE","-2113.50896891771","TRUE",1
"21","millet","p_sow","-3592.68977628415","FALSE","-3681.34619020929","TRUE","-3709.79594209855","TRUE","-3639.65841681165","TRUE",1
"22","millet","p_grow","-3457.66760693324","TRUE","-3525.3103166975","TRUE","-3523.91860724365","FALSE","-3472.36075962069","TRUE",1
"23","millet","p_harv","-3433.47348053462","FALSE","-3537.08386719031","TRUE","-3604.59519279134","TRUE","-3522.65002218059","TRUE",1
"24","millet","p_sup","-3372.24337346192","FALSE","-3373.30318307279","FALSE","-3380.77788226383","TRUE","-3380.31333621764","TRUE",1
"25","millet","p_onemonth","-3388.42723451681","FALSE","-3391.49396709058","FALSE","-3392.64542136445","FALSE","-3384.93305360861","FALSE",1
"26","maize","p_sow","-5853.63455204972","TRUE","-5904.19840498956","TRUE","-5915.99152181801","TRUE","-5976.88624681095","TRUE",1
"27","maize","p_grow","-8165.97561637107","TRUE","-8249.3024017894","TRUE","-8254.78808452279","FALSE","-8196.56175341188","TRUE",1
"28","maize","p_harv","-6442.14887016694","TRUE","-6486.25471628699","TRUE","-6509.70250290097","FALSE","-6666.8015683355","TRUE",1
"29","maize","p_sup","-6967.49723718913","TRUE","-7074.38262130718","TRUE","-7074.63218893368","FALSE","-6984.15895103561","TRUE",1
"30","maize","p_onemonth","-7434.07987345029","FALSE","-7473.05806785818","TRUE","-7476.298211462","TRUE","-7462.73339453379","TRUE",1
"31","sorghum","p_sow","-2921.00853859383","TRUE","-3280.52012943736","TRUE","-3279.97491470871","FALSE","-3040.76024695472","TRUE",2
"32","sorghum","p_grow","-2028.23248047085","FALSE","-2349.01946366442","TRUE","-2374.25019430561","TRUE","-2048.94822391613","TRUE",2
"33","sorghum","p_harv","-2332.80466792986","FALSE","-2471.03648505656","TRUE","-2473.16730095904","TRUE","-2362.18455395317","TRUE",2
"34","sorghum","p_sup","-2287.80193418661","TRUE","-2300.07755908334","TRUE","-2303.18542034046","FALSE","-2381.36548989861","TRUE",2
"35","sorghum","p_onemonth","-2015.57848692992","FALSE","-2101.07581312251","TRUE","-2100.49955222623","FALSE","-2153.38448633113","TRUE",2
"36","millet","p_sow","-3593.91575831429","FALSE","-3752.94243240686","TRUE","-3830.0916372085","TRUE","-3743.80727932699","TRUE",2
"37","millet","p_grow","-3460.48240336366","TRUE","-3534.11943232802","TRUE","-3533.85879213456","FALSE","-3456.85739222513","TRUE",2
"38","millet","p_harv","-3434.82342410543","FALSE","-3545.17519831202","TRUE","-3619.18431680845","TRUE","-3534.81466118995","TRUE",2
"39","millet","p_sup","-3372.09593412028","FALSE","-3372.05103621535","FALSE","-3376.59922390086","TRUE","-3378.90134219297","TRUE",2
"40","millet","p_onemonth","-3389.59095395288","TRUE","-3395.08440836545","FALSE","-3397.33616273724","FALSE","-3384.91108330127","FALSE",2
"41","maize","p_sow","-5863.48172984335","TRUE","-5918.00056618853","TRUE","-5925.30847565877","TRUE","-5990.99595436741","TRUE",2
"42","maize","p_grow","-8161.36260714953","FALSE","-8370.75189957296","TRUE","-8389.70355521846","FALSE","-8186.0467830588","TRUE",2
"43","maize","p_harv","-6444.59330142061","TRUE","-6487.49865148698","TRUE","-6490.69833083994","FALSE","-6586.12404930432","TRUE",2
"44","maize","p_sup","-6959.92080545199","TRUE","-7075.525591752","TRUE","-7080.80977031853","TRUE","-6985.59731833776","TRUE",2
"45","maize","p_onemonth","-7434.07769819735","FALSE","-7466.33002094621","TRUE","-7473.61323025379","TRUE","-7468.49947461247","TRUE",2
