"","Grain","Time Period","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"14","maize","p_sup","-6930.18315052885","FALSE","-6932.15860799268","TRUE","-6942.62532560343","TRUE","-6953.09684100722","TRUE",0.25
"15","maize","p_onemonth","-7434.12502894573","FALSE","-7494.42272247114","TRUE","-7503.74217297161","TRUE","-7447.16983397452","TRUE",0.25
"16","sorghum","p_sow","-2068.5796338169","FALSE","-2071.19434092551","TRUE","-2148.24534378261","TRUE","-2070.04917915179","FALSE",1
"17","sorghum","p_grow","-2077.85160003098","TRUE","-2296.05755849679","TRUE","-2392.93692925284","TRUE","-2030.31452444722","FALSE",1
"18","sorghum","p_harv","-2389.91288904492","TRUE","-2555.67911205491","TRUE","-2574.70306158636","TRUE","-2386.99177368789","TRUE",1
"19","sorghum","p_sup","-2267.82733005752","TRUE","-2280.18496694383","FALSE","-2423.54951265903","TRUE","-2318.84980587585","TRUE",1
"20","sorghum","p_onemonth","-2015.89138664186","FALSE","-2099.79222968503","TRUE","-2099.27519753791","FALSE","-2104.79770097667","TRUE",1
"21","millet","p_sow","-3648.67328916036","TRUE","-3677.54795135046","TRUE","-3678.48617968329","FALSE","-3635.0906882056","TRUE",1
"22","millet","p_grow","-3449.37074559984","TRUE","-3486.63925075373","TRUE","-3502.09265641244","TRUE","-3444.41802420406","FALSE",1
"23","millet","p_harv","-3433.54555394678","FALSE","-3517.63612692047","TRUE","-3563.66458594757","TRUE","-3500.74604989586","TRUE",1
"24","millet","p_sup","-3372.11090979397","FALSE","-3385.37678385181","TRUE","-3385.11387626937","FALSE","-3394.64576396466","TRUE",1
"25","millet","p_onemonth","-3388.42723451681","FALSE","-3391.49396709058","FALSE","-3392.64542136445","FALSE","-3384.93305360861","FALSE",1
"26","maize","p_sow","-5760.48893383353","TRUE","-6021.79565396631","TRUE","-6038.35354362516","FALSE","-5887.2953876946","TRUE",1
"27","maize","p_grow","-8158.10397548914","FALSE","-8156.16578300929","FALSE","-8233.36201129289","TRUE","-8176.18565368827","TRUE",1
"28","maize","p_harv","-6317.99416462537","TRUE","-6334.37807845617","TRUE","-6347.93571111815","TRUE","-6434.21430026047","TRUE",1
"29","maize","p_sup","-6930.55440002023","FALSE","-6929.53935190194","FALSE","-6941.28302978036","TRUE","-6958.12049782366","TRUE",1
"30","maize","p_onemonth","-7434.32675862519","FALSE","-7500.10208058659","TRUE","-7511.22682037878","TRUE","-7462.24357676209","TRUE",1
"31","sorghum","p_sow","-2068.52516895019","FALSE","-2091.81936314371","TRUE","-2295.96765923322","TRUE","-2097.66810590081","TRUE",2
"32","sorghum","p_grow","-2053.94486961415","TRUE","-2191.13355957097","TRUE","-2247.26868174736","TRUE","-2029.99997863414","FALSE",2
"33","sorghum","p_harv","-2345.43340151523","TRUE","-2469.24769233473","TRUE","-2485.17736907072","TRUE","-2386.0803033329","TRUE",2
"34","sorghum","p_sup","-2273.16508586156","TRUE","-2283.08959585417","FALSE","-2435.23153589316","TRUE","-2324.29294706984","TRUE",2
"35","sorghum","p_onemonth","-2015.21943547671","FALSE","-2106.87615215272","TRUE","-2105.47978575483","FALSE","-2140.94715212202","TRUE",2
"36","millet","p_sow","-3677.038814122","TRUE","-3743.73080521046","TRUE","-3751.39383969856","TRUE","-3739.51470477602","TRUE",2
"37","millet","p_grow","-3453.27315390649","TRUE","-3503.47834499726","TRUE","-3506.67981101993","TRUE","-3449.33478766259","TRUE",2
"38","millet","p_harv","-3435.66288481456","FALSE","-3514.70938778983","TRUE","-3570.45031131127","TRUE","-3512.3070455189","TRUE",2
"39","millet","p_sup","-3372.09880582823","FALSE","-3382.12123248421","TRUE","-3382.49924098124","FALSE","-3394.11571569525","TRUE",2
"40","millet","p_onemonth","-3389.59095395288","TRUE","-3395.08440836545","FALSE","-3397.33616273724","FALSE","-3384.91108330127","FALSE",2
"41","maize","p_sow","-5775.22972538032","TRUE","-6076.5020236553","TRUE","-6130.96642200349","TRUE","-5902.31384835942","TRUE",2
"42","maize","p_grow","-8175.06900701421","TRUE","-8173.41867294667","FALSE","-8364.63112209417","TRUE","-8166.49443083545","TRUE",2
"43","maize","p_harv","-6315.38715437578","TRUE","-6328.30893487039","TRUE","-6327.15054172043","FALSE","-6376.02016249011","TRUE",2
"44","maize","p_sup","-6929.86923881818","FALSE","-6927.8877223267","FALSE","-6940.39350887708","TRUE","-6958.28878425655","TRUE",2
"45","maize","p_onemonth","-7434.62345763052","FALSE","-7496.98182040721","TRUE","-7512.55904263838","TRUE","-7467.92848862966","TRUE",2
