Grain,Time Period,Linear_AIC,lall_pvals_sig?,Log-Linear_AIC,log_lall_pvals_sig?,2_AIC,qall_pvals_sig?,Log_2_AIC,log_qall_pvals_sig?,3_AIC,tall_pvals_sig?,Log_3_AIC,log_tall_pvals_sig?,Log_AIC,gall_pvals_sig?,Log_Log_AIC,log_gall_pvals_sig?,"rep(buf, nrow(final))",,Mins,2nd Smallest,Next smallest Dif,Next smallest probability of being better,,1st Choice,2nd Choice,,
maize,p_onemonth,51712.82769,TRUE,-7160.421924,FALSE,51707.35873,FALSE,-7158.646052,FALSE,51701.87543,TRUE,-7181.379233,TRUE,51712.82769,TRUE,-7166.342883,TRUE,0.5/.75/1,,-7181.379233,-7166.342883,-15.03635044,0.05,,Log_3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorghum,p_sow,18893.92647,TRUE,-99.80921079,TRUE,18844.49496,TRUE,-134.7325745,TRUE,18746.88009,TRUE,-236.6319002,TRUE,18893.92647,TRUE,-131.5081783,TRUE,2,,-236.6319002,-134.7325745,-101.8993258,0.00,,Log_3,,,
sorghum,p_grow,18135.09936,TRUE,641.6075495,TRUE,18109.60086,FALSE,609.6132046,TRUE,17822.82392,TRUE,346.5901819,TRUE,18135.09936,TRUE,678.0719014,TRUE,2,,346.5901819,609.6132046,-263.0230227,0.00,,Log_3,,,
sorghum,p_harv,17225.66986,FALSE,388.9015179,TRUE,17218.09174,TRUE,336.1355547,TRUE,17165.83007,TRUE,271.5117728,TRUE,17225.66986,FALSE,377.4010402,TRUE,2,,271.5117728,336.1355547,-64.62378196,0.00,,Log_3,,,
sorghum,p_sup,20122.63285,TRUE,865.7199116,FALSE,20123.55664,FALSE,857.230072,TRUE,20122.07556,FALSE,845.1529647,TRUE,20122.63285,TRUE,744.2181271,TRUE,2,,744.2181271,845.1529647,-100.9348376,0.00,,Log_Log,,,
sorghum,p_onemonth,21264.50437,FALSE,898.6069996,TRUE,21266.49465,FALSE,882.2518389,TRUE,21193.50831,TRUE,780.4562058,TRUE,21264.50437,FALSE,824.5819242,TRUE,2,,780.4562058,824.5819242,-44.12571839,0.00,,Log_3,,,
millet,p_sow,9303.104741,FALSE,-1116.034336,TRUE,9207.215181,TRUE,-1340.472317,TRUE,9178.5422,FALSE,-1374.303171,FALSE,9303.104741,FALSE,-1114.7765,TRUE,2,,-1340.472317,-1116.034336,-224.4379809,0.00,,Log_2,,,
millet,p_grow,12628.74434,TRUE,-1305.743067,TRUE,12630.7367,FALSE,-1309.434166,TRUE,12628.2429,FALSE,-1307.637799,FALSE,12628.74434,TRUE,-1304.733559,TRUE,2,,-1309.434166,-1305.743067,-3.691099229,15.79,,Log_2,Log_Linear,,
millet,p_harv,12352.95182,TRUE,-1044.517323,TRUE,12341.78541,TRUE,-1093.192579,TRUE,12145.81661,TRUE,-1288.482804,TRUE,12352.95182,TRUE,-1255.228778,TRUE,2,,-1288.482804,-1255.228778,-33.25402684,0.00,,Log_3,,,
millet,p_sup,14710.02425,TRUE,-984.3545889,TRUE,14685.02727,TRUE,-1002.315327,TRUE,14671.62754,TRUE,-1011.749659,TRUE,14710.02425,TRUE,-995.4962676,TRUE,2,,-1011.749659,-1002.315327,-9.434332421,0.89,,Log_3,Log_2,,
millet,p_onemonth,14357.47334,FALSE,-1019.904528,TRUE,14329.93655,TRUE,-1042.932306,TRUE,14326.13731,TRUE,-1042.382473,FALSE,14357.47334,FALSE,-1016.475992,TRUE,2,,-1042.932306,-1019.904528,-23.02777797,0.00,,Log_2,,,
maize,p_sow,48843.43336,TRUE,-5618.736866,TRUE,48771.03223,TRUE,-5638.746246,TRUE,48768.16489,TRUE,-5641.115979,TRUE,48843.43336,TRUE,-5660.982599,TRUE,2,,-5660.982599,-5641.115979,-19.86662035,0.00,,Log_Log,,,
maize,p_grow,50356.67552,FALSE,-5879.023807,TRUE,50355.87786,FALSE,-5893.975345,FALSE,50339.62194,TRUE,-5906.513125,TRUE,50356.67552,FALSE,-5812.248229,TRUE,2,,-5906.513125,-5879.023807,-27.48931769,0.00,,Log_3,,,
maize,p_harv,53696.81841,TRUE,-5733.376615,TRUE,53698.35824,FALSE,-5731.380238,FALSE,53700.25339,FALSE,-5731.368709,FALSE,53696.81841,TRUE,-6125.211928,TRUE,2,,-6125.211928,-5733.376615,-391.8353124,0.00,,Log_Log,,,
maize,p_sup,58573.11947,TRUE,-6501.670768,TRUE,58536.53469,TRUE,-6515.932916,TRUE,58499.16478,TRUE,-6525.95328,TRUE,58573.11947,TRUE,-6359.627974,TRUE,2,,-6525.95328,-6515.932916,-10.02036397,0.67,,Log_3,,,
maize,p_onemonth,63998.28695,FALSE,-6858.000094,FALSE,63982.28637,TRUE,-6871.433768,TRUE,63980.3842,TRUE,-6876.055949,TRUE,63998.28695,FALSE,-6868.758969,TRUE,2,,-6876.055949,-6871.433768,-4.622181562,9.92,,Log_3,,,
